Category ID,Item ID,Custom Label (SKU),Title,Format,VariationSet,SiteID,Reserved1-Do not edit or delete,C:Brand,C:Screen Size,C:Processor,C:Model,C:Operating System,C:Type,C:Processor Speed,C:SSD Capacity,C:Features,C:Hard Drive Capacity,C:Storage Type,C:GPU,C:Release Year,C:Maximum Resolution,C:Color,C:MPN,C:Series,C:RAM Size,C:Most Suitable For,C:Graphics Processing Type,C:Connectivity,C:Country/Region of Manufacture,C:Manufacturer Warranty,C:California Prop 65 Warning,C:Item Height,C:Item Length,C:Item Weight,C:Item Width,C:Custom Bundle,C:UPC,C:Form Factor,C:Operating System Edition,C:Bundle Description,C:Modified Item,C:Screen Refresh Rate,C:SKU,C:Location,C:Manufacturer Color
111422,295457045470,3JJ-0101H-R2,MacBook Air 2019 Model A1932 | intel i5-8210Y@1.6GHz | 8GB RAM | NO SSD | NO PWR,FIXED_PRICE,,0,-1209553536,Apple,13 in,Intel Core i5 8th Gen.,Core i5,,,1.60 GHz,,,,SSD (Solid State Drive),,2019,,,,MacBook Air,8 GB,,,,,,,,,,,No,,,,,,,,,
111422,295529533587,3JS-0210B-R2,"MacBook Pro A1278 Early 2011, Core i7, 2.7GHz, 8GB RAM, 120GB SSD, Sierra10.12",FIXED_PRICE,,0,409385210,Apple,13 in,Intel Core i7 2nd Gen.,MacBook Pro A1278,,,2.70 GHz,120 GB,,,SSD (Solid State Drive),,2011,,,,,8 GB,,,,,,,,,,,,,,,,,,,,
111422,295529533598,3JS-0209E,"MacBook Pro A1278 Mid 2009, iCore2Duo, 2.26 GHz, 8GB RAM, 120GGB SSD, OSX10.9",FIXED_PRICE,,0,-1422519812,Apple,13 in,Intel Core 2 Duo,MacBook Pro A1278,,,2.26 GHz,120 GB,,8 GB,SSD (Solid State Drive),,2009,,,,,8 GB,,,,,,,,,,,,,,,,,,,,
111422,295529540998,3HL-0209E-R8,"Lot of (3) Apple MacBook Air 13.3"" A1466 For Parts & Repair",FIXED_PRICE,,0,563889694,Apple,13.3 in,Intel Core i5 3rd Gen.,A1466,,,,,,,,,,,,,MacBook Air,,Parts,,,,,,,,,,,,,,,,,,,
111422,295529541013,3HL-0209D-R8,"Apple MacBook Pro 13 2017, i5-7360U @2.30GHz, 8GB RAM, 128GB SSD, *Parts*",FIXED_PRICE,,0,-792372318,Apple,13.3 in,Intel Core i5 7th Gen.,A1708,macOS,,2.30 GHz,128 GB,,,SSD (Solid State Drive),,2017,,Silver,Does Not Apply,MacBook Pro,16 GB,Parts,,,,,,,,,,,,,,,,,,,
111422,295529541774,3JS-0209C-R2,"Macbook Pro A1278 Mid 2010, 2.4 GHz, Core 2 Duo, 8GB RAM, 120GB SSD, OS-SIERRA",FIXED_PRICE,,0,869052790,Apple,13 in,Intel Core 2 Duo,Macbook Pro A1278,,,2.4 GHz,120 GB,,,SSD (Solid State Drive),,2010,,,,,8 GB,,,,,,,,,,,,,,,,,,,,
111422,295529541926,AV168-I5,Pursim Librim 13 i7-7500U - Parts or Repair,FIXED_PRICE,,0,-594963183,Pursim,13 in,i7-7500U,,,,,,,,,,,,,,,,Parts,,,,,,,,,,,NA,,,,,,,,
177,295391012446,2HL-1129A-R8,"Microsoft Surface 3 64GB, Atom x7-Z8700 @1.60GHz, 2GB RAM *For Parts & Repair *",FIXED_PRICE,,0,368448008,Microsoft,10.8 in,Intel Atom Quad-Core,Microsoft Surface 3,,,1.60 GHz,64 GB,,,,,,,,,Surface,2 GB,Parts,,,,,,,,,,,,,,,,,,,
177,295393285990,2JJ-1129A,Dell Latitude E5450 | i5-5200U @2.20Ghz | 4GB RAM | NO HDD | WORKING FOR PARTS,FIXED_PRICE,,0,-288270365,Dell,14 in,Intel Core i5 5th Gen.,Dell Latitude E5450,,,2.20 GHz,,,,,,,,,,,4 GB,Parts,,,,,,,,,,,,,,,,,,,
177,295393388448,2HL-1129C-R8,"Dell Latitude E5470,  i5-6200U @2.4GHz, 8GB RAM, 256GB SSD, Windows 10 Pro",FIXED_PRICE,,0,1646751881,Dell,14 in,Intel Core i5 6th Gen.,Dell Latitude E5470,Windows 10 Pro,Notebook/Laptop,2.40 GHz,256GB,,8 GB,SSD (Solid State Drive),,2018,1366 x 768,Black,LATITUDEE5470,,8 GB,Casual Computing,Integrated/On-Board Graphics,HDMI,,,,,,,,,,,,,,,,,
