category_id,name,sku,brand,tags,unit,estimate_time,shipping_charges,mrp_price,discount_type,discount,stock,short_description,description,policy,video_url,seo_title,seo_tags,seo_description,gst,hsn,comission,condition,product_image_1,product_image_2,product_image_3,product_image_4,product_image_5,product_image_6
17,"HP Compaq 8200 Elite SFF, i7-2600 @ 3.4GHz, 8GB RAM, 2TB HDD, W10P",DB8234,HP,,pc,3 day,0,69.1,percentage,0,1,,"HP Compaq 8200 Elite SFF

* i7-2600 @ 3.4GHz CPU Processor
* 8GB Ram
* 2TB HDD
* Windows 10 Pro
* Power Cable

Tested and functional. Clean OS installation, with an activated Windows 10 license and updated drivers. Sold as is shown in photos.

Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/DB8234/937bd09f-6256-5424-b092-18fc96b3b001.jpg,https://images.sellbrite.com/production/31935/DB8234/14bff125-4dae-5290-9e08-5b7b76552122.jpg,https://images.sellbrite.com/production/31935/DB8234/66473729-7ebb-5876-875e-1fb71578f08c.jpg,https://images.sellbrite.com/production/31935/DB8234/f6948954-2bd1-505b-abce-5c69c2a3d22c.jpg,https://images.sellbrite.com/production/31935/DB8234/79e9c9ff-694a-5d8d-9b5c-5189dc296411.jpg,https://images.sellbrite.com/production/31935/DB8234/b6dc0727-fdbe-51f8-8d13-d9ea65d5e144.jpg
17,Microsoft Client License Pak (Microsoft (R) Exchange 2000 Server) 5 Licenses,OB641,Microsoft,,pc,3 day,0,6.61,percentage,0,1,,"For sale is an: Microsoft Client License Pak (Microsoft (R) Exchange 2000 Server) 5 Licenses

Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,new,https://images.sellbrite.com/production/31935/OB641/a5452c9d-b785-52ac-ad77-173026e0175c.jpg,https://images.sellbrite.com/production/31935/OB641/9a2dca49-7022-5c61-8116-cc4d64ee027d.jpg,https://images.sellbrite.com/production/31935/OB641/184acb48-5021-5988-aa80-95d1c21a0676.jpg,,,
17,Intel Core i7-2600 Quad-Core 3.4GHz 8MB LGA1155 Processor SR00B,IF_9D53C4EA,Intel,,pc,3 day,0,37.81,percentage,0,1,,"Intel Core i7-2600 Quad-Core 3.4GHz 8MB LGA1155 Processor SR00B.

Guaranteed to arrive well packaged and functional, 30 day warranty included in sale.

Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/IF_9D53C4EA/fa3c14dd-5482-56a6-b24f-9141e9aca055.jpg,,,,,
17,SAPPHIRE Radeon HD 7870 GHz Edition 2GB GDDR5 PCI Express 3.0 x16 CrossFireX,2GA-0527B,SAPPHIRE,,pc,3 day,0,61.28,percentage,0,1,,"For sale is a SAPPHIRE Radeon HD 7870 GHz Edition 2GB GDDR5 PCI Express 3.0 x16 CrossFireX.

Tested and working great, 30 day warranty included in sale.

Ships out by next business day.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2GA-0527B/80418bca-75c5-5911-bb25-1fb10612c63b.jpg,https://images.sellbrite.com/production/31935/2GA-0527B/9db234e8-1fa7-51c9-a4aa-96b1faa6d7c1.jpg,https://images.sellbrite.com/production/31935/2GA-0527B/8d9d7020-92e7-5a71-90ae-6c0f728630ee.jpg,https://images.sellbrite.com/production/31935/2GA-0527B/6427356f-7411-5337-bfb4-5bd2b48ca8f1.jpg,https://images.sellbrite.com/production/31935/2GA-0527B/7b74ca89-01a0-5ffc-a921-74009f5621bd.jpg,
17,"Lot of (2) Acer G226HQL 21.5"" LED Monitors",2RM-05247,Acer,,pc,3 day,0,87.54,percentage,0,1,,"For sale is a Lot of (2) Acer G226HQL 21.5"" LED Monitors.

Equipped with:

2x Adaptors


*Minor scuffs on front frame and backside.

*One monitor has a large and flat scuff on screen. , But doesn't affect screen appearance.


Sold as shown in photos.


30 Day warranty / Tested and functional / Ships out by next business day.

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2RM-05247/afe4a5d4-b809-5935-9895-148107bf56d8.jpg,https://images.sellbrite.com/production/31935/2RM-05247/14bbaf08-0a7a-5e79-b48d-22198e6b906f.jpg,https://images.sellbrite.com/production/31935/2RM-05247/e4636e31-3f3e-556c-bd5c-606f097a934b.jpg,https://images.sellbrite.com/production/31935/2RM-05247/b1c9f9a3-47ef-522f-b551-37c18767104c.jpg,https://images.sellbrite.com/production/31935/2RM-05247/a91d8a62-ecea-5740-9e6d-234656d8b64d.jpg,https://images.sellbrite.com/production/31935/2RM-05247/01ec20a4-6e24-505b-9b4e-2aded484ca06.jpg
17,"Dell Vostro 360, i3-2120 @ 3.3GHz, 4GB RAM, 120GB SSD, W10P, 23"" Display",DB8239,HP,,pc,3 day,0,72.59,percentage,0,1,,"For sale is a Dell Vostro 360 AIO Computer equipped with

* i3-2120 @ 3.3GHz CPU Processor
* 4GB Ram
* 120GB SSD
* Windows 10 Pro
* 23"" Display
* Dell Adapter

Tested and functional. Clean OS installation, with an activated Windows 10 license and updated drivers. Sold as is shown in photos.


Ships out by next business day.

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/DB8239/ba3899a2-74db-504c-9ae7-804c84354039.jpg,https://images.sellbrite.com/production/31935/DB8239/6467489b-2ab6-5d13-ae13-620f8657e9be.jpg,https://images.sellbrite.com/production/31935/DB8239/80e7563f-3dff-526a-bcf4-90b725de8f9a.jpg,https://images.sellbrite.com/production/31935/DB8239/c02dd744-7d70-59e0-bb3e-0bfc7b2f5ee1.jpg,https://images.sellbrite.com/production/31935/DB8239/b2ac6def-7f50-535d-a932-70b0fb4ce64e.jpg,https://images.sellbrite.com/production/31935/DB8239/6f04f94c-3adf-5935-95cc-0804918037ed.jpg
17,"Lot of (2) Acer S200HL 20"" LED Backlit LCD Monitors",2RM-05246,Acer,,pc,3 day,0,87.54,percentage,0,1,,"For sale is a Lot of (2) Acer S200HL 20"" LED Backlit LCD Monitors

Equipped with:

2x Adaptors


*Minor scuffs on front frame.

*Minor scuffs on backside cover.


Sold as shown in photos.


30 Day warranty / Tested and functional / Ships out by next business day.

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2RM-05246/c990167e-9786-577c-a62f-c9caae3afef9.jpg,https://images.sellbrite.com/production/31935/2RM-05246/b0e9e88d-2884-5c9b-91d1-c3ca2676a530.jpg,https://images.sellbrite.com/production/31935/2RM-05246/1e8987e8-80a7-56f1-b4fb-425b56ca7734.jpg,https://images.sellbrite.com/production/31935/2RM-05246/43e5b039-3036-582c-83a4-6f313de092b1.jpg,https://images.sellbrite.com/production/31935/2RM-05246/aafe4818-7612-5785-bfe7-4104f00fde9b.jpg,https://images.sellbrite.com/production/31935/2RM-05246/d703803b-f019-5a25-a323-0eaf6fed4b31.jpg
17,EVGA SuperClocked+ 02G-P4-2684-KR GeForce GTX 680 2GB 256-bit GDDR5 PCI Express,2JJ-0525H,EVGA,,pc,3 day,0,74.41,percentage,0,1,,"FOR SALE TODAY WE HAVE EVGA SuperClocked+ 02G-P4-2684-KR GeForce GTX 680 2GB 256-bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card.

Graphics card has been tested and it is working.

Ships out next business day.
Warranty for 30 days, free returns.
Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2JJ-0525H/80049f28-18a2-5c95-9b2e-4bf33a6c3f4d.jpg,https://images.sellbrite.com/production/31935/2JJ-0525H/7e76a878-da29-50e6-aa6b-b8c4d4c08da6.jpg,https://images.sellbrite.com/production/31935/2JJ-0525H/86edc6b7-5794-52d0-acab-9df84feed873.jpg,https://images.sellbrite.com/production/31935/2JJ-0525H/833d4f4f-0caa-5b27-9f9d-25a502d0adca.jpg,https://images.sellbrite.com/production/31935/2JJ-0525H/46a59c68-e5ae-5b29-8b26-988b32336f7b.jpg,https://images.sellbrite.com/production/31935/2JJ-0525H/dfe1969e-38b5-5a2a-a644-df64a9fc04e8.jpg
17,Brother MFC-8950DW All-In-One Laser FAX Copier Network Printer Page Count: 110K,2RM-05244,Brother,,pc,3 day,0,350.2,percentage,0,1,,"For sale is a Brother MFC-8950DW All-In-One Laser FAX Copier Network Printer.

Equipped with:

1x Power cord


Page Count: 110,082


Drum, toner, fuser and laser has long life remaining.


*Scuffs on upper paper tray and main body.

*Scuffs on front side.


Sold as shown in photos.


30 Day warranty / Tested and functional / Ships out by next business day.

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2RM-05244/6cf991f4-a18d-5f60-9f91-cc1af9957ee7.jpg,https://images.sellbrite.com/production/31935/2RM-05244/2da21f45-6fe8-5e2a-8e30-11539501ec08.jpg,https://images.sellbrite.com/production/31935/2RM-05244/7baf054b-f573-5097-8c35-63d3449a2862.jpg,https://images.sellbrite.com/production/31935/2RM-05244/da88556d-2298-59d7-83a7-64897520cf26.jpg,https://images.sellbrite.com/production/31935/2RM-05244/ea74861f-e64d-598a-b0d2-db32f9b551b3.jpg,https://images.sellbrite.com/production/31935/2RM-05244/b009c4c9-2616-5433-944c-01beec280448.jpg
17,"Cybertron pc case w/ 500 watt SL-8500BTX PS, & HDD Caddie",2GA-0527H,CybertronPC,,pc,3 day,0,43.77,percentage,0,1,,"For sale is a Cybertron pc case w/ 500 watt SL-8500BTX PS, & HDD Caddie.


No motherboard, CPU, or Ram included in sale. Only the Case, PSU, and wires shown. Last photo included only to prove that the PSU is working. The last photo was the picture of the computer powered on w/ previous set up. Items show in bios not included.


Ships out by next business day.

Listing and template services provided by inkFrog (https://signin.ebay.com/authorize?client_id=inkFrogI-eBayShop-PRD-45d7504c4-548de517&response_type=code&redirect_uri=inkFrog__Inc.-inkFrogI-eBaySh-vlfzfmcd&scope=https://api.ebay.com/oauth/api_scope%20https://api.ebay.com/oauth/api_scope/sell.marketing.readonly%20https://api.ebay.com/oauth/api_scope/sell.marketing%20https://api.ebay.com/oauth/api_scope/sell.inventory.readonly%20https://api.ebay.com/oauth/api_scope/sell.inventory%20https://api.ebay.com/oauth/api_scope/sell.account.readonly%20https://api.ebay.com/oauth/api_scope/sell.account%20https://api.ebay.com/oauth/api_scope/sell.fulfillment.readonly%20https://api.ebay.com/oauth/api_scope/sell.fulfillment%20https://api.ebay.com/oauth/api_scope/sell.analytics.readonly)",,,,,,0,0,0,used,https://images.sellbrite.com/production/31935/2GA-0527H/33792acd-870a-5904-8896-8f21c8b6fa16.jpg,https://images.sellbrite.com/production/31935/2GA-0527H/71a10447-5a64-5f5a-b9ea-0499e2732390.jpg,https://images.sellbrite.com/production/31935/2GA-0527H/9c9dcf07-4042-5bd5-a9c2-54e11b05d4b5.jpg,https://images.sellbrite.com/production/31935/2GA-0527H/8cf5c290-8aa3-50c9-b40a-275621d2377e.jpg,https://images.sellbrite.com/production/31935/2GA-0527H/398c93a9-5a09-54d6-a3ae-a4ca73ff7909.jpg,https://images.sellbrite.com/production/31935/2GA-0527H/96aa4f45-6aaf-5973-8064-4d5b083c7a79.jpg
